athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
Semen ELISTRATOV,1,Beijing 2022,1990.0,"


1

B

",33
Janghyuk PARK,1,Beijing 2022,1998.0,"


1

S

",25
Sjinkie KNEGT,4,Vancouver 2010,1989.0,"


1

S



1

B

",34
Yuri CONFORTOLA,5,Turin 2006,1986.0,"


1

S



1

B

",37
Charles HAMELIN,5,Turin 2006,1984.0,"


4

G



1

S



1

B

",39
Wenlong LI,1,Beijing 2022,2001.0,"


1

S

",22
Chutong ZHANG,1,Beijing 2022,2003.0,"


1

B

",20
Alang KIM,3,Sochi 2014,1995.0,"


2

G



1

S

",28
Yutong HAN,2,PyeongChang 2018,1994.0,"


1

B

",29
Queralt CASTELLET,5,Turin 2006,1989.0,"


1

S

",34
Chloe KIM,2,PyeongChang 2018,2000.0,"


2

G

",23
Sena TOMITA,2,PyeongChang 2018,1999.0,"


1

B

",24
Jiayu LIU,4,Vancouver 2010,1992.0,"


1

S

",31
Julia PEREIRA DE SOUSA MABILEAU,2,PyeongChang 2018,2001.0,"


1

S

",22
Meryeta ODINE,2,PyeongChang 2018,1997.0,"


2

B

",26
Chloe TRESPEUCH,3,Sochi 2014,1994.0,"


1

S



1

B

",29
Lindsey JACOBELLIS,5,Turin 2006,1985.0,"


2

G



1

S

",38
Michela MOIOLI,3,Sochi 2014,1995.0,"


1

G



1

S

",28
Nevin GALMARINI,4,Vancouver 2010,1986.0,"


1

G



1

S

",37
Zan KOSIR,4,Vancouver 2010,1984.0,"


1

S



2

B

",39
Vic WILD,3,Sochi 2014,1986.0,"


2

G



1

B

",37
Sangho LEE,2,PyeongChang 2018,1995.0,"


1

S

",28
Benjamin KARL,4,Vancouver 2010,1985.0,"


1

G



1

S



1

B

",38
Tim MASTNAK,2,PyeongChang 2018,1991.0,"


1

S

",32
Julia MARINO,2,Sochi 2014,1997.0,"


1

S

",26
Kokomo MURASE,1,Beijing 2022,2004.0,"


1

B

",19
Zoi SADOWSKI SYNNOTT,2,PyeongChang 2018,2001.0,"


1

G



1

S



1

B

",22
Tess COADY,1,Beijing 2022,2000.0,"


1

B

",23
Jamie ANDERSON,3,Sochi 2014,1990.0,"


2

G



1

S

",33
Enni RUKAJARVI,3,Sochi 2014,1990.0,"


1

S



1

B

",33
Anna GASSER,3,Sochi 2014,1991.0,"


2

G

",32
Laurie BLOUIN,2,PyeongChang 2018,1996.0,"


1

S

",27
Alessandro HAEMMERLE,3,Sochi 2014,1993.0,"


1

G

",30
Jarryd HUGHES,3,Sochi 2014,1995.0,"


1

S

",28
Omar VISINTIN,3,Sochi 2014,1989.0,"


1

S



1

B

",34
Nick BAUMGARTNER,4,Vancouver 2010,1981.0,"


1

G

",42
Eliot GRONDIN,2,PyeongChang 2018,2001.0,"


1

S



1

B

",22
Staale SANDBECH,4,Vancouver 2010,1993.0,"


1

S

",30
Max PARROT,3,Sochi 2014,1994.0,"


1

G



1

S



1

B

",29
Sebastien TOUTANT,3,Sochi 2014,1992.0,"


1

G

",31
Mark MCMORRIS,3,Sochi 2014,1993.0,"


3

B

",30
Mons ROISLAND,2,PyeongChang 2018,1997.0,"


1

S

",26
Yiming SU,1,Beijing 2022,2004.0,"


1

G



1

S

",19
Redmond GERARD,2,PyeongChang 2018,2000.0,"


1

G

",23
Jan SCHERRER,3,Sochi 2014,1994.0,"


1

B

",29
Ayumu HIRANO,3,Sochi 2014,1998.0,"


2

S

",25
Shaun WHITE,5,Turin 2006,1986.0,"


3

G

",37
Scotty JAMES,4,Vancouver 2010,1994.0,"


1

S



1

B

",29
Ester LEDECKA,3,Sochi 2014,1995.0,"


3

G

",28
Daniela ULBING,2,PyeongChang 2018,1998.0,"


1

S

",25
Gloria KOTNIK,4,Vancouver 2010,1989.0,"


1

B

",34
Tomoka TAKEUCHI,6,Salt Lake City 2002,1983.0,"


1

S

",40
Patrizia KUMMER,3,Sochi 2014,1987.0,"


1

G

",36
Ramona Theresia HOFMEISTER,2,PyeongChang 2018,1996.0,"


1

B

",27
Julia DUJMOVITS,3,Sochi 2014,1987.0,"


1

G

",36
Manuel FETTNER,2,PyeongChang 2018,1985.0,"


1

G



1

S

",38
Ryoyu KOBAYASHI,2,PyeongChang 2018,1996.0,"


1

G



1

S

",27
Markus EISENBICHLER,2,PyeongChang 2018,1991.0,"


1

B

",32
Mackenzie BOYD-CLOWES,4,Vancouver 2010,1991.0,"


1

B

",32
Timi ZAJC,2,PyeongChang 2018,2000.0,"


1

G



1

S

",23
Constantin SCHMID,1,Beijing 2022,1999.0,"


1

B

",24
Karl GEIGER,2,PyeongChang 2018,1993.0,"


1

S



2

B

",30
Peter PREVC,4,Vancouver 2010,1992.0,"


1

G



2

S



1

B

",31
Robert JOHANSSON,2,PyeongChang 2018,1990.0,"


1

G



2

B

",33
Marius LINDVIK,1,Beijing 2022,1998.0,"


1

G

",25
Stefan KRAFT,2,PyeongChang 2018,1993.0,"


1

G

",30
Daniel-Andre TANDE,2,PyeongChang 2018,1994.0,"


1

G

",29
Dawid KUBACKI,3,Sochi 2014,1990.0,"


2

B

",33
Danil SADREEV,1,Beijing 2022,2003.0,"


1

S

",20
Matthew SOUKUP,1,Beijing 2022,1997.0,"


1

B

",26
Jan HOERL,1,Beijing 2022,1998.0,"


1

G

",25
Cene PREVC,1,Beijing 2022,1996.0,"


1

S

",27
Simon AMMANN,7,Nagano 1998,1981.0,"


4

G

",42
Kamil STOCH,5,Turin 2006,1987.0,"


3

G



1

B

",36
Daniel HUBER,1,Beijing 2022,1993.0,"


1

G

",30
Lovro KOS,1,Beijing 2022,1999.0,"


1

S

",24
Evgeniy KLIMOV,3,Sochi 2014,1994.0,"


1

S

",29
Daniela IRASCHKO-STOLZ,3,Sochi 2014,1983.0,"


1

S

",40
Sara TAKANASHI,3,Sochi 2014,1996.0,"


1

B

",27
Nika KRIZNAR,2,PyeongChang 2018,2000.0,"


1

G



1

B

",23
Irma MAKHINIA,1,Beijing 2022,2002.0,"


1

S

",21
Alexandria LOUTITT,1,Beijing 2022,2004.0,"


1

B

",19
Ursa BOGATAJ,2,PyeongChang 2018,1995.0,"


2

G

",28
Irina AVVAKUMOVA,3,Sochi 2014,1991.0,"


1

S

",32
Abigail STRATE,1,Beijing 2022,2001.0,"


1

B

",22
Katharina ALTHAUS,1,Beijing 2022,1996.0,"


1

S

",27
Stephan LEYHE,2,PyeongChang 2018,1992.0,"


1

S



1

B

",31
Stefan HULA,4,Turin 2006,1986.0,"


1

B

",37
Kamila VALIEVA,1,Beijing 2022,2006.0,"


1

G

",17
Anna SHCHERBAKOVA,1,Beijing 2022,2004.0,"


1

G

",19
Wakaba HIGUCHI,1,Beijing 2022,2001.0,"


1

B

",22
Karen CHEN,2,PyeongChang 2018,1999.0,"


1

S

",24
Alexandra Trusova,1,Beijing 2022,2004.0,"


1

S

",19
Kaori SAKAMOTO,2,PyeongChang 2018,2000.0,"


2

B

",23
Shoma UNO,2,PyeongChang 2018,1997.0,"


1

S



2

B

",26
Yuzuru HANYU,3,Sochi 2014,1994.0,"


2

G

",29
Mark KONDRATIUK,1,Beijing 2022,2003.0,"


1

G

",20
Yuma KAGIYAMA,1,Beijing 2022,2003.0,"


1

S



1

B

",20
Jason BROWN,2,Sochi 2014,1994.0,"


1

B

",29
Nathan CHEN,2,PyeongChang 2018,1999.0,"


1

G



1

S



1

B

",24
Vincent ZHOU,2,PyeongChang 2018,2000.0,"


1

S

",23
Dominik FISCHNALLER,3,Sochi 2014,1993.0,"


1

B

",30
