athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
Sabine VOELKER,3,Nagano 1998,1973.0,"


1

G



2

S



1

B

",50
Michael GRUBER,2,Salt Lake City 2002,1979.0,"


1

G



1

B

",44
Antti KUISMA,1,Turin 2006,1978.0,"


1

B

",45
Ronny ACKERMANN,3,Nagano 1998,1977.0,"


3

S

",46
Ludovic ROUX,3,Nagano 1998,1979.0,"


1

B

",44
Nicolas BAL,3,Nagano 1998,1978.0,"


1

B

",45
Shizuka ARAKAWA,2,Nagano 1998,1981.0,"


1

G

",42
Sasha COHEN,2,Salt Lake City 2002,1984.0,"


1

S

",39
Irina SLUTSKAYA,3,Nagano 1998,1979.0,"


1

S



1

B

",44
Jeffrey BUTTLE,1,Turin 2006,1982.0,"


1

B

",41
Lars BYSTOEL,2,Salt Lake City 2002,1978.0,"


1

G



2

B

",45
Roar LJOEKELSOEY,4,Lillehammer 1994,1976.0,"


2

B

",47
Takanobu OKABE,3,Lillehammer 1994,1970.0,"


1

G



1

S

",53
Tami KIURU,1,Turin 2006,1976.0,"


1

S

",47
Andreas WIDHOELZL,3,Nagano 1998,1976.0,"


1

G



2

B

",47
Martin KOCH,2,Salt Lake City 2002,1982.0,"


1

G

",41
Primoz PETERKA,3,Nagano 1998,1979.0,"


1

B

",44
Risto JUSSILAINEN,2,Salt Lake City 2002,1975.0,"


1

S

",48
Masahiko HARADA,5,Albertville 1992,1968.0,"


1

G



1

S



1

B

",55
Duff GIBSON,2,Salt Lake City 2002,1966.0,"


1

G

",57
Gregor STAEHLI,2,Salt Lake City 2002,1968.0,"


2

B

",55
Martin RETTL,2,Salt Lake City 2002,1973.0,"


1

S

",50
Sun-Yu JIN,1,Turin 2006,1988.0,"


3

G

",35
Yang YANG (A),3,Nagano 1998,1976.0,"


2

G



2

S



1

B

",47
Amanda OVERLAND,1,Turin 2006,1981.0,"


1

S

",42
Eun-Kyung CHOI,2,Salt Lake City 2002,1984.0,"


2

G



2

S

",39
Min Kyung CHOI,3,Nagano 1998,1982.0,"


1

G

",41
Marta CAPURSO,2,Salt Lake City 2002,1980.0,"


1

B

",43
Eric BEDARD,3,Nagano 1998,1976.0,"


2

G



1

S



1

B

",47
Takafumi NISHITANI,3,Nagano 1998,1979.0,"


1

G

",44
JiaJun LI,4,Lillehammer 1994,1975.0,"


2

S



3

B

",48
Ho-Jin SEO,1,Turin 2006,1983.0,"


1

G

",40
Anouk LEBLANC-BOUCHER,1,Turin 2006,1984.0,"


1

S



1

B

",39
Alanna KRAUS,2,Salt Lake City 2002,1977.0,"


1

S



1

B

",46
Mathieu TURCOTTE,2,Salt Lake City 2002,1977.0,"


1

G



1

S



1

B

",46
Fabio CARTA,3,Nagano 1998,1977.0,"


1

S

",46
Alex IZYKOWSKI,1,Turin 2006,1984.0,"


1

B

",39
Rusty SMITH,3,Nagano 1998,1979.0,"


2

B

",44
Daniela MEULI,2,Salt Lake City 2002,1981.0,"


1

G

",42
Rosey FLETCHER,3,Nagano 1998,1975.0,"


1

B

",48
Isabelle BLANC,3,Nagano 1998,1975.0,"


1

G

",48
Tanja FRIEDEN,1,Turin 2006,1976.0,"


1

G

",47
Karine RUBY,3,Nagano 1998,1978.0,"


1

G



1

S

",45
Richard RIKARDSSON,3,Nagano 1998,1974.0,"


1

S

",49
Radoslav ZIDEK,1,Turin 2006,1981.0,"


1

S

",42
Doriane VIDAL,3,Nagano 1998,1976.0,"


1

S

",47
Ueli KESTENHOLZ,3,Nagano 1998,1975.0,"


1

B

",48
Daniel KASS,2,Salt Lake City 2002,1982.0,"


2

S

",41
Gian SIMMEN,3,Nagano 1998,1977.0,"


1

G

",46
Katrin RUTSCHOW-STOMPOROWSKI,3,Atlanta 1996,1975.0,"


2

G



1

B

",48
Irina FEDOTOVA,3,Atlanta 1996,1975.0,"


1

B

",48
Femke DEKKER,3,Sydney 2000,1979.0,"


1

S

",44
Juri JAANSON,6,Seoul 1988,1965.0,"


2

S

",58
Ivo YANAKIEV,3,Sydney 2000,1975.0,"


1

B

",48
Vaclav CHALUPA JR.,6,Seoul 1988,1967.0,"


1

S

",56
Dirk LIPPITS,2,Sydney 2000,1977.0,"


1

S

",46
Igor ASTAPKOVICH,4,Barcelona 1992,1963.0,"


1

S



1

B

",60
Naman KEITA,1,Athens 2004,1978.0,"


1

B

",45
Paul Kipsiele KOECH,1,Athens 2004,1981.0,"


1

B

",42
Ali EZZINE,2,Sydney 2000,1978.0,"


1

B

",45
Irina SIMAGINA,1,Athens 2004,1982.0,"


1

S

",41
Tatyana KOTOVA,3,Sydney 2000,1976.0,"


2

B

",47
Vanderlei DE LIMA,3,Atlanta 1996,1969.0,"


1

B

",54
Erick WAINAINA,3,Atlanta 1996,1973.0,"


1

S



1

B

",50
Paul TERGAT,3,Atlanta 1996,1969.0,"


2

S

",54
Mirella MANIANI-TZELILI,3,Atlanta 1996,1976.0,"


1

S



1

B

",47
Hicham EL GUERROUJ,3,Atlanta 1996,1974.0,"


2

G



1

S

",49
Rui SILVA,2,Sydney 2000,1977.0,"


1

B

",46
Tonique WILLIAMS-DARLING,2,Sydney 2000,1976.0,"


1

G

",47
Ana GUEVARA,2,Sydney 2000,1977.0,"


1

S

",46
Monique HENNAGAN,2,Sydney 2000,1976.0,"


2

G

",47
Natalya NAZAROVA,3,Sydney 2000,1979.0,"


1

S



1

B

",44
Kelly HOLMES,3,Atlanta 1996,1970.0,"


2

G



1

B

",53
Maria CIONCAN,1,Athens 2004,1977.0,"


1

B

",46
Nouria MERAH-BENIDA,3,Atlanta 1996,1970.0,"


1

G

",53
Olena HOVOROVA,3,Atlanta 1996,1973.0,"


1

B

",50
Terrence TRAMMELL,3,Sydney 2000,1978.0,"


2

S

",45
Anier GARCIA,3,Atlanta 1996,1976.0,"


1

G



1

B

",47
Vladimir ANDREYEV,3,Barcelona 1992,1966.0,"


1

B

",57
Aigars FADEJEVS,3,Atlanta 1996,1975.0,"


1

S

",48
Bernardo SEGURA,3,Atlanta 1996,1970.0,"


1

B

",53
Noe HERNANDEZ,2,Sydney 2000,1978.0,"


1

S

",45
Robert KORZENIOWSKI,4,Barcelona 1992,1968.0,"


4

G

",55
Aleksey VOYEVODIN,1,Athens 2004,1970.0,"


1

B

",53
Giovanni DE BENEDICTIS,5,Seoul 1988,1968.0,"


1

B

",55
Adam NELSON,3,Sydney 2000,1975.0,"


1

G



1

S

",48
Joachim Broechner OLSEN,3,Sydney 2000,1977.0,"


1

S

",46
Manuel MARTINEZ,4,Atlanta 1996,1974.0,"


1

B

",49
John GODINA,3,Atlanta 1996,1972.0,"


1

S



1

B

",51
Mbulaeni MULAUDZI,2,Athens 2004,1980.0,"


1

S

",43
Wilson KIPKETER,2,Sydney 2000,1972.0,"


1

S



1

B

",51
Hezekiel SEPENG,3,Atlanta 1996,1974.0,"


1

S

",49
Djabir SAID GUERNI,2,Sydney 2000,1977.0,"


1

B

",46
Otis HARRIS,1,Athens 2004,1982.0,"


1

G



1

S

",41
Derrick BREW,1,Athens 2004,1977.0,"


1

G



1

B

",46
Davian CLARKE,3,Atlanta 1996,1976.0,"


1

B

",47
Michael BLACKWOOD,3,Sydney 2000,1976.0,"


1

S

",47
Timothy MACK,1,Athens 2004,1972.0,"


1

G

",51
Toby STEVENSON,1,Athens 2004,1976.0,"


1

S

",47
Giuseppe GIBILISCO,3,Sydney 2000,1979.0,"


1

B

",44
Olimpiada IVANOVA,1,Athens 2004,1970.0,"


1

S

",53
Liping WANG,2,Sydney 2000,1976.0,"


1

G

",47
Yelena NIKOLAYEVA,3,Barcelona 1992,1966.0,"


1

G



1

S

",57
Elisabetta PERRONE,4,Barcelona 1992,1968.0,"


1

S

",55
Mizuki NOGUCHI,1,Athens 2004,1978.0,"


1

G

",45
Christian OLSSON,2,Sydney 2000,1980.0,"


1

G

",43
Danil BURKENYA,3,Sydney 2000,1978.0,"


1

B

",45
Yoelbi QUESADA,4,Barcelona 1992,1973.0,"


1

B

",50
Matt HEMINGWAY,1,Athens 2004,1972.0,"


1

S

",51
Sergey MAKAROV,4,Atlanta 1996,1973.0,"


2

B

",50
Steve BACKLEY,4,Barcelona 1992,1969.0,"


2

S



1

B

",54
Jan ŽELEZNÝ,5,Seoul 1988,1966.0,"


3

G



1

S

",57
Olga KUZENKOVA,2,Sydney 2000,1970.0,"


1

G



1

S

",53
Yunaika CRAWFORD,2,Athens 2004,1982.0,"


1

B

",41
Kamila SKOLIMOWSKA,3,Sydney 2000,1982.0,"


1

G

",41
Dwight PHILLIPS,2,Sydney 2000,1977.0,"


1

G

",46
John MOFFITT,1,Athens 2004,1980.0,"


1

S

",43
Joan Lino MARTINEZ,1,Athens 2004,1978.0,"


1

B

",45
James BECKFORD,3,Atlanta 1996,1975.0,"


1

S

",48
Ivan PEDROSO,4,Barcelona 1992,1972.0,"


1

G

",51
Fani CHALKIA,1,Athens 2004,1979.0,"


1

G

",44
Ionela TIRLEA-MANOLACHE,4,Atlanta 1996,1976.0,"


1

S

",47
Tetiana TERESHCHUK-ANTIPOVA,3,Atlanta 1996,1969.0,"


1

B

",54
Aleen BAILEY,2,Athens 2004,1980.0,"


1

G

",43
Yumileidi CUMBA,4,Atlanta 1996,1975.0,"


1

G

",48
Svetlana KRIVELYOVA,4,Barcelona 1992,1969.0,"


1

G

",54
Huina XING,1,Athens 2004,1984.0,"


1

G

",39
Derartu TULU,4,Barcelona 1992,1972.0,"


2

G



1

B

",51
Fernanda RIBEIRO,5,Seoul 1988,1969.0,"


1

G



1

B

",54
Jolanda CEPLAK,2,Sydney 2000,1976.0,"


1

B

",47
Jearl MILES CLARK,4,Barcelona 1992,1966.0,"


2

G



1

S

",57
Hestrie CLOETE,2,Sydney 2000,1978.0,"


2

S

",45
Inha BABAKOVA,3,Atlanta 1996,1967.0,"


1

B

",56
Maurice GREENE,2,Sydney 2000,1974.0,"


2

G



1

S



1

B

",49
Obadele THOMPSON,3,Atlanta 1996,1976.0,"


1

B

",47
Natalya SADOVA,4,Atlanta 1996,1972.0,"


1

G



1

S

",51
Anastasia KELESIDOU,3,Atlanta 1996,1972.0,"


2

S

",51
Yuliya NESTSIARENKA,2,Athens 2004,1979.0,"


1

G

",44
LaTasha COLANDER,2,Sydney 2000,1976.0,"


1

G

",47
Erki NOOL,4,Barcelona 1992,1970.0,"


1

G

",53
Tomas DVORAK,3,Atlanta 1996,1995.0,"


1

B

",28
Isabella OCHICHI,1,Athens 2004,1979.0,"


1

S

",44
Sonia O'SULLIVAN,4,Barcelona 1992,1969.0,"


1

S

",54
Joanna HAYES,1,Athens 2004,1976.0,"


1

G

",47
Melissa MORRISON,2,Sydney 2000,1971.0,"


2

B

",52
Bernard WILLIAMS,2,Sydney 2000,1978.0,"


1

G



1

S

",45
Frank FREDERICKS,3,Barcelona 1992,1967.0,"


4

S

",56
Ali SAIDI-SIEF,3,Sydney 2000,1978.0,"


1

S

",45
Yelena PROKHOROVA,2,Sydney 2000,1978.0,"


1

S

",45
Denise LEWIS,3,Atlanta 1996,1972.0,"


1

G



1

B

",51
Natalya SAZANOVICH,3,Atlanta 1996,1973.0,"


1

S



1

B

",50
Vasiliy KAPTYUKH,3,Atlanta 1996,1967.0,"


1

B

",56
Lars RIEDEL,4,Barcelona 1992,1967.0,"


1

G



1

S

",56
Alexander MOSKALENKO,2,Sydney 2000,1969.0,"


1

G



1

S

",54
Henrik STEHLIK,3,Athens 2004,1980.0,"


1

B

",43
Vyacheslav EKIMOV,3,Seoul 1988,1966.0,"


3

G

",57
Bobby JULICH,1,Athens 2004,1971.0,"


1

S

",52
Michael RICH,4,Seoul 1988,1969.0,"


1

G

",54
Jan ULLRICH,2,Sydney 2000,1973.0,"


1

G



1

S

",50
Sergio PAULINHO,1,Athens 2004,1980.0,"


1

S

",43
Axel MERCKX,2,Sydney 2000,1972.0,"


1

B

",51
Erik DEKKER,4,Barcelona 1992,1970.0,"


1

S

",53
Andreas KLODEN,2,Sydney 2000,1975.0,"


1

B

",48
Deirdre DEMET-BARRY,1,Athens 2004,1972.0,"


1

S

",51
Belem GUERRERO MENDEZ,3,Atlanta 1996,1974.0,"


1

S

",49
Leontien ZIJLAARD-VAN MOORSEL,3,Barcelona 1992,1970.0,"


4

G



1

S



1

B

",53
Leslie LAW,2,Sydney 2000,1965.0,"


1

G



2

S

",58
Kimberly SEVERSON,1,Athens 2004,1973.0,"


1

S



1

B

",50
Jean TEULERE,4,Seoul 1988,1954.0,"


1

G

",69
Bettina HOY,3,Los Angeles 1984,1962.0,"


1

B

",61
Darren CHIACCHIA,1,Athens 2004,1964.0,"


1

B

",59
Blyth TAIT,4,Barcelona 1992,1961.0,"


1

G



1

S



2

B

",62
Didier COURREGES,1,Athens 2004,1960.0,"


1

G

",63
Jeanette BRAKEWELL,2,Sydney 2000,1974.0,"


2

S

",49
John WILLIAMS,1,Athens 2004,1965.0,"


1

B

",58
Julie RICHARDS,2,Sydney 2000,1970.0,"


1

B

",53
Cedric LYARD,1,Athens 2004,1972.0,"


1

G

",51
Arnaud BOITEAU,1,Athens 2004,1973.0,"


1

G

",50
Hyang Mi KIM,2,Atlanta 1996,1979.0,"


1

S

",44
Jianfeng NIU,1,Athens 2004,1981.0,"


1

B

",42
Eun-Sil LEE,2,Sydney 2000,1976.0,"


1

S

",47
Jasna REED,4,Seoul 1988,1970.0,"


1

B

",53
Jan-Ove WALDNER,5,Seoul 1988,1965.0,"


1

G



1

S

",58
Jörg ROSSKOPF,5,Seoul 1988,1969.0,"


1

S



1

B

",54
Ilija LUPULESKU,5,Seoul 1988,1967.0,"


1

S

",56
Kenji INOUE,1,Athens 2004,1976.0,"


1

B

",47
Guivi SISSAOURI,3,Atlanta 1996,1971.0,"


1

S

",52
Gogi KOGUASHVILI,4,Barcelona 1992,1969.0,"


1

B

",54
Sergey LISHTVAN,3,Atlanta 1996,1970.0,"


1

S

",53
Steven LOWNEY,2,Sydney 2000,1979.0,"


1

B

",44
Patricia MIRANDA,1,Athens 2004,1979.0,"


1

B

",44
Xu WANG,1,Athens 2004,1985.0,"


1

G

",38
Anna GOMIS,1,Athens 2004,1973.0,"


1

B

",50
Mkhitar MANUKYAN,3,Atlanta 1996,1973.0,"


1

B

",50
Juan Luis MAREN,4,Barcelona 1992,1971.0,"


2

S



1

B

",52
Ryszard WOLNY,5,Seoul 1988,1969.0,"


1

G

",54
Vyacheslav MAKARENKO,2,Sydney 2000,1975.0,"


1

B

",48
Hamza YERLIKAYA,3,Atlanta 1996,1976.0,"


2

G

",47
Mukhran VAKHTANGADZE,2,Sydney 2000,1973.0,"


1

B

",50
Cael SANDERSON,1,Athens 2004,1979.0,"


1

G

",44
Sazhid SAZHIDOV,1,Athens 2004,1980.0,"


1

B

",43
Yoel ROMERO,2,Sydney 2000,1977.0,"


1

S

",46
Mogamed IBRAGIMOV,3,Atlanta 1996,1974.0,"


1

B

",49
Sara MCMANN,1,Athens 2004,1980.0,"


1

S

",43
Stephen ABAS,1,Athens 2004,1978.0,"


1

S

",45
Chikara TANABE,2,Sydney 2000,1975.0,"


1

B

",48
Amiran KARDANOV,3,Atlanta 1996,1976.0,"


1

B

",47
Namig ABDULLAYEV,3,Atlanta 1996,1971.0,"


1

G



1

S

",52
Daniel IGALI,2,Sydney 2000,1974.0,"


1

G

",49
Georgiy TSURTSUMIA,1,Athens 2004,1980.0,"


1

S

",43
Rulon GARDNER,2,Sydney 2000,1971.0,"


1

G



1

B

",52
Akaki CHACHUA,2,Sydney 2000,1969.0,"


1

B

",54
Wlodzimierz ZAWADZKI,4,Barcelona 1992,1967.0,"


1

G

",56
Khadzhimurat GATCALOV,1,Athens 2004,1982.0,"


1

G

",41
Magomed IBRAGIMOV,1,Athens 2004,1983.0,"


1

S

",40
Alireza HEIDARI,2,Sydney 2000,1976.0,"


1

B

",47
Islam BAYRAMUKOV,3,Atlanta 1996,1971.0,"


1

S

",52
Alireza REZAEI,1,Athens 2004,1976.0,"


1

S

",47
Alexis RODRIGUEZ,2,Sydney 2000,1978.0,"


1

B

",45
Elbrus TEDEYEV,3,Atlanta 1996,1974.0,"


1

G



1

B

",49
Jamill KELLY,1,Athens 2004,1977.0,"


1

S

",46
Makhach MURTAZALIEV,1,Athens 2004,1984.0,"


1

B

",39
Alireza DABIR,2,Sydney 2000,1977.0,"


1

G

",46
Marko YLI-HANNUKSELA,3,Atlanta 1996,1973.0,"


1

S



1

B

",50
Filiberto AZCUY,3,Atlanta 1996,1972.0,"


2

G

",51
Katsuhiko NAGATA,2,Sydney 2000,1973.0,"


1

S

",50
Istvan MAJOROS,2,Sydney 2000,1974.0,"


1

G

",49
Artiom KIOUREGKIAN,1,Athens 2004,1976.0,"


1

B

",47
Dennis HALL,3,Barcelona 1992,1971.0,"


1

S

",52
Wei LUO,1,Athens 2004,1983.0,"


1

G

",40
Oscar Francisco SALAZAR BLANCO,1,Athens 2004,1977.0,"


1

S

",46
Michail MOUROUTSOS,2,Sydney 2000,1980.0,"


1

G

",43
Chih Hsiung HUANG,2,Sydney 2000,1976.0,"


1

S



1

B

",47
Myeong Seob SONG,1,Athens 2004,1984.0,"


1

B

",39
Shih Hsin CHEN,1,Athens 2004,1978.0,"


1

G

",45
Yanelis Yuliet LABRADA DIAZ,1,Athens 2004,1981.0,"


1

S

",42
Yaowapa BOORAPOLCHAI,1,Athens 2004,1984.0,"


1

B

",39
Victor Manuel ESTRADA GARIBAY,2,Sydney 2000,1971.0,"


1

B

",52
Daniel TRENTON,2,Sydney 2000,1977.0,"


1

S

",46
Ji Won JANG,1,Athens 2004,1979.0,"


1

G

",44
Nia ABDALLAH,1,Athens 2004,1984.0,"


1

S

",39
Iridia SALAZAR BLANCO,1,Athens 2004,1982.0,"


1

B

",41
Shu Ju CHI,2,Sydney 2000,1982.0,"


1

B

",41
Pascal GENTIL,2,Sydney 2000,1973.0,"


2

B

",50
Myriam BAVEREL,2,Sydney 2000,1981.0,"


1

S

",42
Dominique BOSSHART,2,Sydney 2000,1977.0,"


1

B

",46
Sarah ULMER,3,Atlanta 1996,1976.0,"


1

G

",47
Rob HAYLES,3,Atlanta 1996,1973.0,"


1

S



1

B

",50
Luke ROBERTS,3,Sydney 2000,1977.0,"


1

G

",46
Robert BARTKO,3,Atlanta 1996,1975.0,"


2

G

",48
Carlos CASTANO,1,Athens 2004,1979.0,"


1

B

",44
Jose ESCUREDO,3,Atlanta 1996,1970.0,"


1

S

",53
Rene WOLFF,1,Athens 2004,1978.0,"


1

G



1

B

",45
Jens FIEDLER,4,Barcelona 1992,1970.0,"


3

G



2

B

",53
Jamie STAFF,2,Athens 2004,1973.0,"


1

G

",50
Laurent GANE,2,Sydney 2000,1973.0,"


1

G



1

B

",50
Sean EADIE,2,Sydney 2000,1969.0,"


1

B

",54
Craig MACLEAN,2,Sydney 2000,1971.0,"


1

S

",52
Lori-Ann MUENZER,2,Sydney 2000,1966.0,"


1

G

",57
Guido FULST,4,Barcelona 1992,1970.0,"


2

G



1

B

",53
Matthew GILMORE,2,Sydney 2000,1972.0,"


1

S

",51
Yonghua JIANG,1,Athens 2004,1973.0,"


1

S

",50
Ulla SALZGEBER,2,Sydney 2000,1958.0,"


2

G



1

S



1

B

",65
Hubertus SCHMIDT,1,Athens 2004,1959.0,"


1

G

",64
Robert Jeffrey DOVER,6,Los Angeles 1984,1956.0,"


4

B

",67
Rafael SOTO,3,Atlanta 1996,1957.0,"


1

S

",66
Juan Antonio JIMENEZ COBO,2,Sydney 2000,1959.0,"


1

S

",64
Guenter SEIDEL,3,Atlanta 1996,1960.0,"


3

B

",63
Martin SCHAUDT,2,Atlanta 1996,1958.0,"


2

G

",65
Sven ROTHENBERGER,2,Atlanta 1996,1966.0,"


1

S



1

B

",57
Lisa WILCOX,1,Athens 2004,1966.0,"


1

B

",57
Louise NATHORST,4,Los Angeles 1984,1955.0,"


1

B

",68
Cynthia Margaret NEALE-ISHOY,4,Munich 1972,1952.0,"


1

B

",71
Ignacio RAMBLA,2,Atlanta 1996,1964.0,"


1

S

",59
Daniel RAMSEIER,3,Seoul 1988,1963.0,"


1

S

",60
Takashi YAMAMOTO,3,Atlanta 1996,1978.0,"


1

S



1

B

",45
Steve PARRY,2,Sydney 2000,1977.0,"


1

B

",46
Tom MALCHOW,3,Atlanta 1996,1976.0,"


1

G



1

S

",47
Justin NORRIS,2,Sydney 2000,1980.0,"


1

B

",43
Franck ESPOSITO,4,Barcelona 1992,1971.0,"


1

B

",52
Geoffrey HUEGILL,2,Sydney 2000,1979.0,"


1

S



1

B

",44
Graeme SMITH,2,Atlanta 1996,1976.0,"


1

B

",47
Erik VENDT,3,Sydney 2000,1981.0,"


1

G



2

S

",42
Fernando SCHERER,3,Atlanta 1996,1974.0,"


2

B

",49
Alexander POPOV,4,Barcelona 1992,1971.0,"


4

G



5

S

",52
Johan KENKHUIS,2,Sydney 2000,1980.0,"


1

S



1

B

",43
Petria THOMAS,3,Atlanta 1996,1975.0,"


3

G



4

S



1

B

",48
Kaitlin SANDENO,2,Sydney 2000,1983.0,"


1

G



1

S



2

B

",40
Felicity GALVEZ,2,Athens 2004,1985.0,"


2

G

",38
Diana MUNZ,2,Sydney 2000,1982.0,"


1

G



1

S



1

B

",41
Jana HENKE,3,Barcelona 1992,1973.0,"


1

B

",50
Hannah STOCKBAUER,2,Sydney 2000,1982.0,"


1

B

",41
Ian THORPE,2,Sydney 2000,1982.0,"


5

G



3

S



1

B

",41
Klete KELLER,3,Sydney 2000,1982.0,"


2

G



1

S



2

B

",41
Lenny KRAYZELBURG,2,Sydney 2000,1975.0,"


4

G

",48
Matthew WELSH,2,Sydney 2000,1976.0,"


2

S



1

B

",47
Steffen DRIESEN,2,Sydney 2000,1981.0,"


1

S

",42
Josh WATSON,2,Sydney 2000,1977.0,"


1

S

",46
Yana KLOCHKOVA,2,Sydney 2000,1982.0,"


4

G



1

S

",41
Agnes KOVACS,3,Atlanta 1996,1981.0,"


1

G



1

B

",42
Beatrice CASLARU,4,Barcelona 1992,1975.0,"


1

S



1

B

",48
Alice MILLS,2,Athens 2004,1986.0,"


2

G



1

B

",37
Jodie HENRY,1,Athens 2004,1983.0,"


3

G

",40
Inge DE BRUIJN,3,Barcelona 1992,1973.0,"


4

G



2

S



2

B

",50
Franziska VAN ALMSICK,4,Barcelona 1992,1978.0,"


4

S



6

B

",45
Johanna SJOBERG,3,Atlanta 1996,1978.0,"


1

B

",45
Claudia POLL AHRENS,3,Atlanta 1996,1972.0,"


1

G



2

B

",51
Elka GRAHAM,2,Sydney 2000,1981.0,"


1

S

",42
Jani SIEVINEN,4,Barcelona 1992,1974.0,"


1

S

",49
Christian KELLER,4,Barcelona 1992,1972.0,"


1

B

",51
Masami TANAKA,3,Atlanta 1996,1979.0,"


1

B

",44
Brooke HANSON,1,Athens 2004,1978.0,"


1

G



1

S

",45
Xuejuan LUO,2,Sydney 2000,1984.0,"


1

G

",39
Jens KRUPPA,2,Sydney 2000,1976.0,"


1

S



1

B

",47
Terence PARKIN,2,Sydney 2000,1980.0,"


1

S

",43
Emanuele MERISI,4,Barcelona 1992,1972.0,"


1

B

",51
Patrick MURPHY,2,Athens 2004,1984.0,"


2

B

",39
Torsten SPANNEBERG,2,Sydney 2000,1975.0,"


1

B

",48
Jenny THOMPSON,4,Barcelona 1992,1973.0,"


8

G



3

S



1

B

",50
Sandra VOELKER,4,Barcelona 1992,1974.0,"


1

S



2

B

",49
Regan HARRISON,2,Sydney 2000,1978.0,"


1

S

",45
Tara KIRK,1,Athens 2004,1982.0,"


1

S

",41
Junko ONISHI,2,Sydney 2000,1974.0,"


1

B

",49
Rachel KOMISARZ,1,Athens 2004,1976.0,"


1

G



1

S

",47
Haley COPE,1,Athens 2004,1979.0,"


1

S

",44
Giaan ROONEY,2,Sydney 2000,1982.0,"


1

G



2

S

",41
Solenne FIGUES,3,Atlanta 1996,1979.0,"


1

B

",44
Lindsay BENKO,2,Sydney 2000,1976.0,"


2

G



1

S

",47
Yu-Ting YANG,3,Sydney 2000,1988.0,"


2

S

",35
Sara HARSTICK,2,Sydney 2000,1981.0,"


2

B

",42
Udomporn POLSAK,1,Athens 2004,1981.0,"


1

G

",42
Mabel MOSQUERA,1,Athens 2004,1969.0,"


1

B

",54
Hossein REZA ZADEH,2,Sydney 2000,1978.0,"


2

G

",45
Velichko CHOLAKOV,1,Athens 2004,1982.0,"


1

B

",41
Ronny WELLER,5,Seoul 1988,1969.0,"


1

G



2

S



1

B

",54
Maosheng LE,2,Sydney 2000,1978.0,"


1

S

",45
Sevdalin MINCHEV,4,Barcelona 1992,1974.0,"


1

B

",49
Leonidas SAMPANIS,3,Atlanta 1996,1971.0,"


2

S

",52
Zhuo LI,1,Athens 2004,1981.0,"


1

S

",42
Aree WIRATTHAWORN,1,Athens 2004,1980.0,"


1

B

",43
Tara NOTT,2,Sydney 2000,1972.0,"


1

G

",51
Nataliya SKAKUN,2,Sydney 2000,1981.0,"


1

G

",42
Karnam MALLESWARI,2,Sydney 2000,1975.0,"


1

B

",48
Eszter KRUTZLER,1,Athens 2004,1981.0,"


1

S

",42
Zarema KASAEVA,1,Athens 2004,1987.0,"


1

B

",36
George ASANIDZE,2,Sydney 2000,1975.0,"


1

G



1

B

",48
Pyrros DIMAS,4,Barcelona 1992,1971.0,"


3

G



1

B

",52
Sergey FILIMONOV,3,Atlanta 1996,1975.0,"


1

S

",48
Viktor MITROU,3,Atlanta 1996,1973.0,"


1

S

",50
Attila FERI,3,Barcelona 1992,1968.0,"


1

B

",55
Ingo STEINHOEFEL,5,Seoul 1988,1967.0,"


1

S

",56
Xugang ZHAN,3,Atlanta 1996,1974.0,"


2

G

",49
Milen DOBREV,1,Athens 2004,1980.0,"


1

G

",43
Eduard TYUKIN,1,Athens 2004,1978.0,"


1

B

",45
Akakios KAKIASVILIS,4,Barcelona 1992,1969.0,"


3

G

",54
Song Hui RI,2,Sydney 2000,1978.0,"


2

S

",45
Pawina THONGSUK,2,Sydney 2000,1979.0,"


1

G

",44
Valentina POPOVA,2,Sydney 2000,1960.0,"


1

S



1

B

",63
Gonghong TANG,1,Athens 2004,1979.0,"


1

G

",44
Agata WROBEL,2,Sydney 2000,1981.0,"


1

S



1

B

",42
Dmitry BERESTOV,1,Athens 2004,1980.0,"


1

G

",43
Gleb PISAREVSKIY,1,Athens 2004,1976.0,"


1

B

",47
Asaad Said Saif ASAAD,2,Sydney 2000,1979.0,"


1

B

",44
Guozheng ZHANG,2,Sydney 2000,1974.0,"


1

G

",49
Nikolay PECHALOV,4,Barcelona 1992,1970.0,"


1

G



1

S



2

B

",53
Sergei LAVRENOV,2,Sydney 2000,1972.0,"


1

B

",51
Halil MUTLU,4,Barcelona 1992,1973.0,"


3

G

",50
Meijin WU,1,Athens 2004,1980.0,"


1

S

",43
Hiroshi YAMAMOTO,5,Los Angeles 1984,1962.0,"


1

S



1

B

",61
Tim CUDDIHY,1,Athens 2004,1987.0,"


1

B

",36
Yong-Ho JANG,3,Atlanta 1996,1976.0,"


2

G



1

S

",47
Ming Huang LIU,1,Athens 2004,1984.0,"


1

S

",39
Wietse VAN ALTEN,2,Sydney 2000,1978.0,"


1

B

",45
Simon FAIRWEATHER,5,Seoul 1988,1969.0,"


1

G

",54
Mi-Jin YUN,2,Sydney 2000,1983.0,"


3

G

",40
Ying HE,3,Atlanta 1996,1977.0,"


2

S

",46
Cornelia PFOHL,4,Barcelona 1992,1971.0,"


1

S



1

B

",52
Sang LIN,1,Athens 2004,1977.0,"


1

S

",46
Li Ju CHEN,1,Athens 2004,1981.0,"


1

B

",42
Nataliya BURDEYNA,2,Sydney 2000,1974.0,"


1

S

",49
Alina KABAEVA,2,Sydney 2000,1983.0,"


1

G



1

B

",40
